title,ethnicity,activity,location,text,tags,caption,object
photo153,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12132439_604406576364470_5382163553938274877_o.jpg"" height=""500px"">"
photo154,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12132480_959191775461_2990278120927919901_o.jpg"" height=""500px"">"
photo155,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12132552_604406613031133_6918234189881433463_o.jpg"" height=""500px"">"
photo156,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12141588_1064292660277659_2834110322831778477_n.jpg"" height=""500px"">"
photo157,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12143095_808634395915825_653497919881115436_n.jpg"" height=""500px"">"
photo158,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/1611013_1451165158547538_2064770143963745305_n.jpg"" height=""500px"">"
photo159,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/20184_815605141821898_6570093981947782101_n.jpg"" height=""500px"">"
photo160,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3787.JPG"" height=""500px"">"
photo161,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3788.JPG"" height=""500px"">"
photo162,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3819.JPG"" height=""500px"">"
photo163,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3822.jpg"" height=""500px"">"
photo164,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3841.jpg"" height=""500px"">"
photo165,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3854.jpg"" height=""500px"">"
photo166,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3855.jpg"" height=""500px"">"
photo167,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3856.jpg"" height=""500px"">"
